"";"рейс";"расписание";"ожидаемое время";"статус";"Авиакомпания";"Номер рейса";"Направление";"Самолёт";"lon";"lat";"V11"
"8";"SU 1627 Симферополь — Москва (Шереметьево)Airbus А320";2018-05-22 02:25:00;" ";"ожидается";" Аэрофлот";"SU 1627";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"9";"SU 6860 Симферополь — УфаBoeing 737-800";2018-05-22 02:55:00;" ";"ожидается";" Россия";"SU 6860";"Уфа";"Boeing 737-800";"55.947727";"54.726288";4
"10";"N4 634 Симферополь — Москва (Шереметьево)Boeing 737-800";2018-05-22 03:20:00;" ";"ожидается";" Nordwind Airlines";"N4 634";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"11";"SU 6898 Симферополь — Санкт-ПетербургAirbus А320";2018-05-22 07:05:00;" ";"ожидается";" Россия";"SU 6898";"Санкт-Петербург";"Airbus A320";"30.316229";"59.938732";44
"12";"S7 264 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-22 08:40:00;" ";"ожидается";" S7 Airlines";"S7 264";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"13";"N4 124 Симферополь — Москва (Шереметьево)Airbus А321";2018-05-22 09:20:00;" ";"ожидается";" Nordwind Airlines";"N4 124";"Москва";"Airbus А321";"37.6176606";"55.7507178";205
"14";"SU 2801 Симферополь — СочиСухой Суперджет 100";2018-05-22 09:30:00;" ";"ожидается";" Аэрофлот";"SU 2801";"Сочи";"Сухой Суперджет 100";"39.723109";"43.5854823";7
"15";"U6 526 Симферополь — Москва (Домодедово)Airbus А320";2018-05-22 09:40:00;" ";"ожидается";" Уральские авиалинии";"U6 526";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"16";"SU 1637 Симферополь — Москва (Шереметьево)Airbus A320";2018-05-22 09:50:00;" ";"ожидается";" Аэрофлот";"SU 1637";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"17";"S7 270 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-22 10:05:00;" ";"ожидается";" S7 Airlines";"S7 270";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"18";"SU 1645 Симферополь — Москва (Шереметьево)Airbus A320";2018-05-22 10:50:00;" ";"ожидается";" Аэрофлот";"SU 1645";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"19";"SU 6892 Симферополь — Санкт-ПетербургAirbus A319";2018-05-22 11:20:00;" ";"ожидается";" Россия";"SU 6892";"Санкт-Петербург";"Airbus A319";"30.316229";"59.938732";44
"20";"SU 6836 Симферополь — КраснодарBoeing 737-800";2018-05-22 11:55:00;" ";"ожидается";" Россия";"SU 6836";"Краснодар";"Boeing 737-800";"38.9757116";"45.0354329";2
"21";"U6 440 Симферополь — Москва (Шереметьево)Airbus А320";2018-05-22 12:05:00;" ";"ожидается";" Уральские авиалинии";"U6 440";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"22";"S7 164 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-22 12:20:00;" ";"ожидается";" S7 Airlines";"S7 164";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"23";"S7 3328 Симферополь — НовосибирскBoeing 737-800";2018-05-22 12:40:00;" ";"ожидается";" S7 Airlines";"S7 3328";"Новосибирск";"Boeing 737-800";"82.9234509";"55.0282171";8
"24";"SU 1621 Симферополь — Москва (Шереметьево)Airbus A320";2018-05-22 12:55:00;" ";"ожидается";" Аэрофлот";"SU 1621";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"25";"U6 2832 Симферополь — Москва (Домодедово)Airbus А321";2018-05-22 13:15:00;" ";"ожидается";" Уральские авиалинии";"U6 2832";"Москва";"Airbus А321";"37.6176606";"55.7507178";205
"26";"U6 2932 Симферополь — ЕкатеринбургAirbus А320";2018-05-22 14:15:00;" ";"ожидается";" Уральские авиалинии";"U6 2932";"Екатеринбург";"Airbus A320";"60.60825";"56.839104";5
"27";"WZ 5568 Симферополь — Москва (Домодедово)Boeing 737-500";2018-05-22 14:35:00;" ";"ожидается";" Red Wings";"WZ 5568";"Москва";"Boeing 737-500";"37.6176606";"55.7507178";205
"28";"5N 568 Симферополь — Москва (Домодедово)Boeing 737-500";2018-05-22 14:35:00;" ";"ожидается";" Нордавиа";"5N 568";"Москва";"Boeing 737-500";"37.6176606";"55.7507178";205
"29";"N4 524 Симферополь — Москва (Шереметьево)Boeing 737-800";2018-05-22 15:10:00;" ";"ожидается";" Nordwind Airlines";"N4 524";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"30";"U6 34 Симферополь — Москва (Домодедово)Airbus А320";2018-05-22 15:20:00;" ";"ожидается";" Уральские авиалинии";"U6 34";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"31";"SU 6832 Симферополь — Ростов-на-ДонуAirbus A319";2018-05-22 15:25:00;" ";"ожидается";" Россия";"SU 6832";"Ростов-на-Дону";"Airbus A319";"39.7022756";"47.2249135";8
"32";"SU 1623 Симферополь — Москва (Шереметьево)Airbus А320";2018-05-22 15:35:00;" ";"ожидается";" Аэрофлот";"SU 1623";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"33";"SU 6884 Симферополь — Санкт-ПетербургAirbus А320";2018-05-22 15:55:00;" ";"ожидается";" Россия";"SU 6884";"Санкт-Петербург";"Airbus A320";"30.316229";"59.938732";44
"34";"SU 6858 Симферополь — КазаньBoeing 737-800";2018-05-22 16:25:00;" ";"ожидается";" Россия";"SU 6858";"Казань";"Boeing 737-800";"49.1242266";"55.7823547";3
"35";"U6 522 Симферополь — Москва (Домодедово)Airbus А320";2018-05-22 16:40:00;" ";"ожидается";" Уральские авиалинии";"U6 522";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"36";"S7 166 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-22 17:00:00;" ";"ожидается";" S7 Airlines";"S7 166";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"37";"SU 1629 Симферополь — Москва (Шереметьево)Airbus A320";2018-05-22 17:10:00;" ";"ожидается";" Аэрофлот";"SU 1629";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"38";"R3 472 Симферополь — Якутск (Внуково)Boeing 737-800";2018-05-22 17:30:00;" ";"ожидается";" Якутия";"R3 472";"Якутск";"Boeing 737-800";"129.732086";"62.027287";1
"39";"SU 1625 Симферополь — Москва (Шереметьево)Airbus A320";2018-05-22 18:45:00;" ";"ожидается";" Аэрофлот";"SU 1625";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"40";"N4 134 Симферополь — Москва (Шереметьево)Boeing 737-800";2018-05-22 19:45:00;" ";"ожидается";" Nordwind Airlines";"N4 134";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"41";"5N 6308 Симферополь — Москва (Домодедово)ТУ-204";2018-05-22 20:15:00;" ";"ожидается";" Нордавиа";"5N 6308";"Москва";"ТУ-204";"37.6176606";"55.7507178";205
"42";"WZ 308 Симферополь — Москва (Домодедово)ТУ-204";2018-05-22 20:15:00;" ";"ожидается";" Red Wings";"WZ 308";"Москва";"ТУ-204";"37.6176606";"55.7507178";205
"43";"U6 2842 Симферополь — Москва (Домодедово)Airbus А321";2018-05-22 20:35:00;" ";"ожидается";" Уральские авиалинии";"U6 2842";"Москва";"Airbus А321";"37.6176606";"55.7507178";205
"44";"SU 1659 Симферополь — Москва (Шереметьево)Airbus A320";2018-05-22 21:00:00;" ";"ожидается";" Аэрофлот";"SU 1659";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"45";"S7 162 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-22 21:45:00;" ";"ожидается";" S7 Airlines";"S7 162";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"46";"U6 484 Симферополь — СамараAirbus А320";2018-05-22 22:10:00;" ";"ожидается";" Уральские авиалинии";"U6 484";"Самара";"Airbus A320";"50.113987";"53.198627";5
"47";"SU 6886 Симферополь — Санкт-ПетербургBoeing 777-300";2018-05-22 22:15:00;" ";"ожидается";" Россия";"SU 6886";"Санкт-Петербург";"Boeing 777-300";"30.316229";"59.938732";44
"48";"SU 6152 Симферополь — Москва (Внуково)Boeing 737-800";2018-05-22 23:50:00;" ";"ожидается";" Россия";"SU 6152";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"81";"SU 6864 Симферополь — ЧелябинскBoeing 737-800";2018-05-23 01:00:00;" ";"ожидается";" Россия";"SU 6864";"Челябинск";"Boeing 737-800";"61.4025547";"55.1598408";2
"91";"SU 1627 Симферополь — Москва (Шереметьево)Airbus А320";2018-05-23 02:25:00;" ";"ожидается";" Аэрофлот";"SU 1627";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"101";"N4 634 Симферополь — Москва (Шереметьево)Boeing 737-800";2018-05-23 03:30:00;" ";"ожидается";" Nordwind Airlines";"N4 634";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"111";"SU 6158 Симферополь — Москва (Внуково)Boeing 737-800";2018-05-23 03:35:00;" ";"ожидается";" Россия";"SU 6158";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"121";"SU 6898 Симферополь — Санкт-ПетербургAirbus A319";2018-05-23 07:05:00;" ";"ожидается";" Россия";"SU 6898";"Санкт-Петербург";"Airbus A319";"30.316229";"59.938732";44
"131";"6W 5806 Симферополь — ПензаEmbraer 190";2018-05-23 08:00:00;" ";"ожидается";" Саратовские авиалинии";"6W 5806";"Пенза";"Embraer 190";"45";"53.200001";1
"141";"S7 264 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-23 08:40:00;" ";"ожидается";" S7 Airlines";"S7 264";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"151";"N4 124 Симферополь — Москва (Шереметьево)Boeing 737-800";2018-05-23 09:20:00;" ";"ожидается";" Nordwind Airlines";"N4 124";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"161";"S7 268 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-23 09:25:00;" ";"ожидается";" S7 Airlines";"S7 268";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"171";"SU 2801 Симферополь — СочиСухой Суперджет 100";2018-05-23 09:30:00;" ";"ожидается";" Аэрофлот";"SU 2801";"Сочи";"Сухой Суперджет 100";"39.723109";"43.5854823";7
"181";"U6 526 Симферополь — Москва (Домодедово)Airbus А321";2018-05-23 09:40:00;" ";"ожидается";" Уральские авиалинии";"U6 526";"Москва";"Airbus А321";"37.6176606";"55.7507178";205
"191";"SU 1637 Симферополь — Москва (Шереметьево)Airbus A320";2018-05-23 09:50:00;" ";"ожидается";" Аэрофлот";"SU 1637";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"201";"SU 6860 Симферополь — УфаBoeing 737-800";2018-05-23 09:55:00;" ";"ожидается";" Россия";"SU 6860";"Уфа";"Boeing 737-800";"55.947727";"54.726288";4
"211";"S7 270 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-23 10:05:00;" ";"ожидается";" S7 Airlines";"S7 270";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"221";"SU 6150 Симферополь — Москва (Внуково)Boeing 777-300";2018-05-23 10:15:00;" ";"ожидается";" Россия";"SU 6150";"Москва";"Boeing 777-300";"37.6176606";"55.7507178";205
"231";"U6 512 Симферополь — Санкт-ПетербургAirbus А320";2018-05-23 10:40:00;" ";"ожидается";" Уральские авиалинии";"U6 512";"Санкт-Петербург";"Airbus A320";"30.316229";"59.938732";44
"241";"SU 1645 Симферополь — Москва (Шереметьево)Airbus A320";2018-05-23 10:50:00;" ";"ожидается";" Аэрофлот";"SU 1645";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"251";"SU 6892 Симферополь — Санкт-ПетербургAirbus A319";2018-05-23 11:20:00;" ";"ожидается";" Россия";"SU 6892";"Санкт-Петербург";"Airbus A319";"30.316229";"59.938732";44
"261";"U6 440 Симферополь — Москва (Шереметьево)Airbus А320";2018-05-23 12:05:00;" ";"ожидается";" Уральские авиалинии";"U6 440";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"271";"S7 164 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-23 12:20:00;" ";"ожидается";" S7 Airlines";"S7 164";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"281";"S7 3328 Симферополь — НовосибирскBoeing 737-800";2018-05-23 12:40:00;" ";"ожидается";" S7 Airlines";"S7 3328";"Новосибирск";"Boeing 737-800";"82.9234509";"55.0282171";8
"291";"SU 1621 Симферополь — Москва (Шереметьево)Airbus A320";2018-05-23 12:55:00;" ";"ожидается";" Аэрофлот";"SU 1621";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"301";"U6 2832 Симферополь — Москва (Домодедово)Airbus А321";2018-05-23 13:15:00;" ";"ожидается";" Уральские авиалинии";"U6 2832";"Москва";"Airbus А321";"37.6176606";"55.7507178";205
"311";"SU 6144 Симферополь — Москва (Внуково)Boeing 777-300";2018-05-23 14:10:00;" ";"ожидается";" Россия";"SU 6144";"Москва";"Boeing 777-300";"37.6176606";"55.7507178";205
"321";"U6 2932 Симферополь — ЕкатеринбургAirbus А320";2018-05-23 14:25:00;" ";"ожидается";" Уральские авиалинии";"U6 2932";"Екатеринбург";"Airbus A320";"60.60825";"56.839104";5
"331";"WZ 5568 Симферополь — Москва (Домодедово)Boeing 737-500";2018-05-23 14:35:00;" ";"ожидается";" Red Wings";"WZ 5568";"Москва";"Boeing 737-500";"37.6176606";"55.7507178";205
"341";"5N 568 Симферополь — Москва (Домодедово)Boeing 737-500";2018-05-23 14:35:00;" ";"ожидается";" Нордавиа";"5N 568";"Москва";"Boeing 737-500";"37.6176606";"55.7507178";205
"351";"6W 5802 Симферополь — СаратовEmbraer 190";2018-05-23 15:00:00;" ";"ожидается";" Саратовские авиалинии";"6W 5802";"Саратов";"Embraer 190";"46.034683";"51.530018";1
"361";"5N 6702 Симферополь — Санкт-ПетербургAirbus А320";2018-05-23 15:05:00;" ";"ожидается";" Нордавиа";"5N 6702";"Санкт-Петербург";"Airbus A320";"30.316229";"59.938732";44
"371";"WZ 702 Симферополь — Санкт-ПетербургAirbus А320";2018-05-23 15:05:00;" ";"ожидается";" Red Wings";"WZ 702";"Санкт-Петербург";"Airbus A320";"30.316229";"59.938732";44
"381";"N4 524 Симферополь — Москва (Шереметьево)Boeing 737-800";2018-05-23 15:10:00;" ";"ожидается";" Nordwind Airlines";"N4 524";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"391";"SU 6832 Симферополь — Ростов-на-ДонуAirbus A319";2018-05-23 15:25:00;" ";"ожидается";" Россия";"SU 6832";"Ростов-на-Дону";"Airbus A319";"39.7022756";"47.2249135";8
"401";"SU 1623 Симферополь — Москва (Шереметьево)Airbus А320";2018-05-23 15:35:00;" ";"ожидается";" Аэрофлот";"SU 1623";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"411";"SU 6884 Симферополь — Санкт-ПетербургAirbus A319";2018-05-23 15:55:00;" ";"ожидается";" Россия";"SU 6884";"Санкт-Петербург";"Airbus A319";"30.316229";"59.938732";44
"421";"U6 522 Симферополь — Москва (Домодедово)Airbus А321";2018-05-23 16:40:00;" ";"ожидается";" Уральские авиалинии";"U6 522";"Москва";"Airbus А321";"37.6176606";"55.7507178";205
"431";"S7 166 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-23 17:00:00;" ";"ожидается";" S7 Airlines";"S7 166";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"441";"SU 1629 Симферополь — Москва (Шереметьево)Airbus A320";2018-05-23 17:10:00;" ";"ожидается";" Аэрофлот";"SU 1629";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"451";"N4 126 Симферополь — СамараAirbus А321";2018-05-23 17:20:00;" ";"ожидается";" Nordwind Airlines";"N4 126";"Самара";"Airbus А321";"50.113987";"53.198627";5
"461";"SU 6862 Симферополь — ВолгоградBoeing 737-800";2018-05-23 18:15:00;" ";"ожидается";" Россия";"SU 6862";"Волгоград";"Boeing 737-800";"44.516804";"48.710678";2
"471";"RT 590 Симферополь — СургутBombardier CRJ200";2018-05-23 18:35:00;" ";"ожидается";" ЮВТ Аэро";"RT 590";"Сургут";"Bombardier CRJ200";"73.3964";"61.254032";1
"481";"SU 1625 Симферополь — Москва (Шереметьево)Airbus A320";2018-05-23 18:45:00;" ";"ожидается";" Аэрофлот";"SU 1625";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"49";"SU 6160 Симферополь — Москва (Внуково)Boeing 737-800";2018-05-23 19:35:00;" ";"ожидается";" Россия";"SU 6160";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"50";"N4 134 Симферополь — Москва (Шереметьево)Boeing 737-800";2018-05-23 19:45:00;" ";"ожидается";" Nordwind Airlines";"N4 134";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"51";"5N 6308 Симферополь — Москва (Домодедово)Airbus А321";2018-05-23 20:15:00;" ";"ожидается";" Нордавиа";"5N 6308";"Москва";"Airbus А321";"37.6176606";"55.7507178";205
"52";"WZ 308 Симферополь — Москва (Домодедово)Airbus А321";2018-05-23 20:15:00;" ";"ожидается";" Red Wings";"WZ 308";"Москва";"Airbus А321";"37.6176606";"55.7507178";205
"53";"U6 2842 Симферополь — Москва (Домодедово)Airbus А321";2018-05-23 20:30:00;" ";"ожидается";" Уральские авиалинии";"U6 2842";"Москва";"Airbus А321";"37.6176606";"55.7507178";205
"54";"SU 1659 Симферополь — Москва (Шереметьево)Airbus A320";2018-05-23 21:00:00;" ";"ожидается";" Аэрофлот";"SU 1659";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"55";"S7 162 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-23 21:45:00;" ";"ожидается";" S7 Airlines";"S7 162";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"56";"SU 6896 Симферополь — Санкт-ПетербургBoeing 777-300";2018-05-23 22:15:00;" ";"ожидается";" Россия";"SU 6896";"Санкт-Петербург";"Boeing 777-300";"30.316229";"59.938732";44
"57";"SU 6844 Симферополь — ОренбургBoeing 737-800";2018-05-23 23:50:00;" ";"ожидается";" Россия";"SU 6844";"Оренбург";"Boeing 737-800";"55.097118";"51.767452";2
"82";"SU 1627 Симферополь — Москва (Шереметьево)Airbus А320";2018-05-24 02:25:00;" ";"ожидается";" Аэрофлот";"SU 1627";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"92";"N4 634 Симферополь — Москва (Шереметьево)Boeing 737-800";2018-05-24 03:20:00;" ";"ожидается";" Nordwind Airlines";"N4 634";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"102";"SU 6898 Симферополь — Санкт-ПетербургAirbus A319";2018-05-24 07:05:00;" ";"ожидается";" Россия";"SU 6898";"Санкт-Петербург";"Airbus A319";"30.316229";"59.938732";44
"112";"S7 264 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-24 08:40:00;" ";"ожидается";" S7 Airlines";"S7 264";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"122";"N4 124 Симферополь — Москва (Шереметьево)Boeing 737-800";2018-05-24 09:20:00;" ";"ожидается";" Nordwind Airlines";"N4 124";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"132";"SU 2801 Симферополь — СочиСухой Суперджет 100";2018-05-24 09:30:00;" ";"ожидается";" Аэрофлот";"SU 2801";"Сочи";"Сухой Суперджет 100";"39.723109";"43.5854823";7
"142";"S7 268 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-24 09:35:00;" ";"ожидается";" S7 Airlines";"S7 268";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"152";"U6 526 Симферополь — Москва (Домодедово)Airbus А320";2018-05-24 09:40:00;" ";"ожидается";" Уральские авиалинии";"U6 526";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"162";"SU 1637 Симферополь — Москва (Шереметьево)Airbus A320";2018-05-24 09:50:00;" ";"ожидается";" Аэрофлот";"SU 1637";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"172";"S7 270 Симферополь — Москва (Домодедово)Boeing 737-800";2018-05-24 10:05:00;" ";"ожидается";" S7 Airlines";"S7 270";"Москва";"Boeing 737-800";"37.6176606";"55.7507178";205
"182";"SU 6150 Симферополь — Москва (Внуково)Boeing 777-300";2018-05-24 10:15:00;" ";"ожидается";" Россия";"SU 6150";"Москва";"Boeing 777-300";"37.6176606";"55.7507178";205
"192";"SU 1645 Симферополь — Москва (Шереметьево)Airbus A320";2018-05-24 10:50:00;" ";"ожидается";" Аэрофлот";"SU 1645";"Москва";"Airbus A320";"37.6176606";"55.7507178";205
"202";"SU 6892 Симферополь — Санкт-ПетербургAirbus A319";2018-05-24 11:20:00;" ";"ожидается";" Россия";"SU 6892";"Санкт-Петербург";"Airbus A319";"30.316229";"59.938732";44
